activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,14,entropy,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,26,adaptive,58,sqrt,10,20,kneighborsClassifier,7,2,adam,uniform,0.7990950226244344
tanh,brute,9,entropy,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,33,constant,84,sqrt,4,4,nnClassifier,3,4,adam,uniform,0.5049773755656108
relu,kd_tree,14,entropy,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,21,constant,3,auto,16,36,nnClassifier,6,9,adam,uniform,0.49592760180995477
relu,ball_tree,20,entropy,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,19,adaptive,8,sqrt,10,14,nnClassifier,3,7,lbfgs,uniform,0.5095022624434389
identity,kd_tree,26,gini,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,10,invscaling,51,sqrt,3,36,kneighborsClassifier,2,5,adam,distance,0.9149321266968325
identity,brute,17,entropy,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,24,adaptive,67,sqrt,4,37,nnClassifier,8,8,sgd,uniform,0.49230769230769234
relu,auto,16,gini,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,39,constant,77,auto,12,18,kneighborsClassifier,7,10,sgd,distance,0.9140271493212669
identity,kd_tree,11,entropy,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,5,constant,50,auto,4,15,nnClassifier,6,1,lbfgs,distance,0.5058823529411764
logistic,kd_tree,31,entropy,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,15,invscaling,77,sqrt,6,17,kneighborsClassifier,2,2,sgd,uniform,0.7529411764705882
identity,brute,22,entropy,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,35,adaptive,89,auto,17,40,kneighborsClassifier,4,2,adam,uniform,0.9104072398190045
