feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,0,nnClassifier,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,1.0,831.9360091686249
1,1,0,1,1,1,nnClassifier,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,1.0,844.2404582500458
1,0,0,0,1,1,nnClassifier,logistic,NA,28,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,848.1939089298248
1,0,0,1,0,0,nnClassifier,relu,NA,8,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,851.9798588752747
0,0,0,1,0,0,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,9,nan,adam,NA,1.0,857.8419868946075
0,1,1,1,0,0,nnClassifier,tanh,NA,12,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,861.9490809440613
0,1,0,0,0,0,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,1.0,871.9692468643188
0,0,0,1,0,0,nnClassifier,identity,NA,25,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,1.0,880.4435875415802
1,0,0,0,0,1,nnClassifier,relu,NA,16,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,1.0,897.8618190288544
1,1,0,1,0,0,nnClassifier,identity,NA,13,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,1.0,904.7575113773346
1,1,0,1,0,0,nnClassifier,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,908.7059950828552
0,1,0,1,0,0,nnClassifier,relu,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,1.0,917.4244599342346
