activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,42,auto,10,14,nnClassifier,6,5,adam,distance,0.2948717948717949,1243.3647315050475
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,64,auto,11,16,nnClassifier,10,5,adam,distance,0.304029304029304,1243.36478834413
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,77,auto,10,20,nnClassifier,9,8,adam,distance,0.3021978021978022,1243.3648454230279
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,73,auto,8,16,nnClassifier,10,5,adam,distance,0.304029304029304,1243.364901612047
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,48,auto,8,12,nnClassifier,9,5,adam,distance,0.31135531135531136,1243.364957561018
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,49,auto,12,9,nnClassifier,6,7,adam,distance,0.304029304029304,1243.3650134301279
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,54,auto,16,23,nnClassifier,9,7,adam,distance,0.2948717948717949,1243.365068999119
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,21,auto,6,15,nnClassifier,4,6,adam,distance,0.2948717948717949,1243.36512450804
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,25,auto,8,6,nnClassifier,10,8,adam,distance,0.2948717948717949,1243.3651796369813
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,52,auto,8,19,nnClassifier,10,6,adam,distance,0.304029304029304,1243.3652348250616
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,40,auto,7,15,nnClassifier,9,5,adam,distance,0.3131868131868132,1243.3652896939311
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,50,auto,7,26,nnClassifier,7,6,adam,distance,0.3021978021978022,1243.365344912978
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,41,auto,8,14,nnClassifier,10,6,adam,distance,0.29853479853479853,1243.3654000319075
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,41,auto,10,21,nnClassifier,10,7,adam,distance,0.29853479853479853,1243.3654553710949
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,18,auto,6,17,nnClassifier,10,5,adam,distance,0.3021978021978022,1243.3655109200627
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,73,auto,10,21,nnClassifier,10,8,adam,distance,0.3131868131868132,1243.365566008957
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,21,auto,6,11,nnClassifier,10,7,adam,distance,0.31135531135531136,1243.365631848108
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,24,auto,2,11,nnClassifier,10,7,adam,distance,0.3131868131868132,1243.3656867861282
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,63,auto,6,10,nnClassifier,9,6,adam,distance,0.30036630036630035,1243.3657412349712
