feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,nnClassifier,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.998046875,1013.6024203300476
0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,nnClassifier,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.998046875,1019.8544447422028
1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,nnClassifier,identity,NA,22,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.998046875,1028.202606678009
0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,log2,4,5,nan,nan,NA,NA,0.775390625,1038.3562304973602
1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,nnClassifier,tanh,NA,10,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,1063.6301255226135
1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,nnClassifier,identity,NA,8,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,1071.0928783416748
0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,nnClassifier,identity,NA,30,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,1079.225502729416
0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,nnClassifier,tanh,NA,19,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.990234375,1090.627358675003
1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,nnClassifier,identity,NA,9,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.998046875,1100.4291911125183
0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,nnClassifier,tanh,NA,10,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.990234375,1124.3826673030853
0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,sqrt,1,8,nan,nan,NA,NA,0.7734375,1131.999275445938
