feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,auto,1,10,nan,nan,NA,NA,0.56672760511883,537.1995196342468
1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,sqrt,1,4,nan,nan,NA,NA,0.6608775137111518,543.9960236549377
1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,1,11,nan,nan,NA,NA,0.6572212065813529,550.8192493915558
0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,sqrt,3,3,nan,nan,NA,NA,0.6517367458866545,557.661815404892
0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,log2,1,27,nan,nan,NA,NA,0.5630712979890311,563.950516462326
1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,sqrt,1,7,nan,nan,NA,NA,0.6608775137111518,570.1312572956085
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,auto,3,2,nan,nan,NA,NA,0.6389396709323584,577.786064863205
1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,auto,1,16,nan,nan,NA,NA,0.6389396709323584,583.8585801124573
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,log2,1,22,nan,nan,NA,NA,0.6014625228519196,590.2351214885712
1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,2,NA,distance,0.4012797074954296,594.7623016834259
0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,4,15,nan,nan,NA,NA,0.6480804387568556,600.6185426712036
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,1,33,nan,nan,NA,NA,0.5813528336380256,606.268627166748
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,2,10,nan,nan,NA,NA,0.6398537477148081,613.3951442241669
1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,log2,4,18,nan,nan,NA,NA,0.6142595978062158,621.646653175354
1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,6,16,nan,nan,NA,NA,0.5987202925045704,627.550449848175
