feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9818181818181818,318.2988815307617
0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,nnClassifier,tanh,NA,24,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.007272727272727273,335.68523693084717
1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,13,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9763636363636363,340.8493847846985
1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,9,NA,distance,0.96,346.34807205200195
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9709090909090909,351.49871587753296
0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9709090909090909,356.3790445327759
0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,32,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9818181818181818,361.5442953109741
0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.98,367.02598452568054
1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9836363636363636,372.2726135253906
1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9763636363636363,377.59106492996216
