,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
72,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,30.0,log2,6.0,19.0,None,None,None,None,0.9457013574660633,ok,241.72676227497868
73,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,31.0,log2,4.0,39.0,None,None,None,None,0.9438914027149321,ok,242.33295314596035
74,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,54.0,auto,6.0,36.0,None,None,None,None,0.9457013574660633,ok,242.93452143808827
75,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,55.0,auto,3.0,34.0,None,None,None,None,0.9447963800904977,ok,243.54988055792637
76,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,log2,6.0,27.0,None,None,None,None,0.9447963800904977,ok,244.15760053205304
77,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,nnClassifier,relu,None,22.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.5167420814479639,ok,248.31703336699866
78,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,78.0,auto,8.0,19.0,None,None,None,None,0.934841628959276,ok,248.9122064220719
79,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,10,None,None,None,None,None,None,7,None,distance,0.8153846153846154,ok,249.11944035091437
80,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,69.0,auto,3.0,26.0,None,None,None,None,0.9429864253393665,ok,249.85152686503716
81,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,36,None,None,None,None,None,None,5,None,distance,0.9339366515837104,ok,250.08597951405682
82,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,91.0,auto,5.0,30.0,None,None,None,None,0.9420814479638009,ok,250.68865799694322
83,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,nnClassifier,identity,None,28.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.4832579185520362,ok,253.80911286594346
84,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,35.0,log2,7.0,29.0,None,None,None,None,0.9330316742081448,ok,254.41000190586783
85,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,3,None,None,None,None,None,None,8,None,uniform,0.9194570135746606,ok,254.67578588798642
86,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,6.0,log2,3.0,20.0,None,None,None,None,0.9230769230769231,ok,255.16375798289664
87,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,100.0,auto,6.0,36.0,None,None,None,None,0.9420814479638009,ok,255.77191013889387
88,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,1,None,distance,0.8461538461538461,ok,255.96134870499372
