,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
67,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,6.0,None,None,None,None,None,None,4.0,None,distance,0.9854545454545455,ok,147.2456178551074
68,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,4.0,None,distance,0.9854545454545455,ok,147.36878574104048
69,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,2.0,None,None,None,None,None,None,5.0,None,distance,0.9836363636363636,ok,147.50587518396787
70,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,6.0,None,None,None,None,None,None,4.0,None,distance,0.9854545454545455,ok,147.61754569108598
71,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,5.0,None,None,None,None,None,None,5.0,None,distance,0.9836363636363636,ok,147.8017027610913
72,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,7.0,None,distance,0.9854545454545455,ok,147.9307893209625
73,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,7.0,None,distance,0.9854545454545455,ok,148.06289138109423
74,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,12.0,None,None,None,None,None,None,8.0,None,distance,0.9836363636363636,ok,148.17259013699368
75,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,8.0,None,None,None,None,None,None,8.0,None,distance,0.9836363636363636,ok,148.28960335301235
76,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,brute,None,None,14.0,None,None,None,None,None,None,7.0,None,distance,0.9854545454545455,ok,148.40757015906274
77,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,brute,None,None,14.0,None,None,None,None,None,None,6.0,None,distance,0.9872727272727273,ok,148.5972354770638
